Model,Origin,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model_Year
chevrolet vega (sw)                 ,USA    ,22.0,4,140.0,72.0,2408,19.0,71
pontiac firebird                    ,USA    ,19.0,6,250.0,100.0,3282,15.0,71
ford mustang                        ,USA    ,18.0,6,250.0,88.0,3139,14.5,71
mercury capri 2000                  ,USA    ,23.0,4,122.0,86.0,2220,14.0,71
opel 1900                           ,Germany,28.0,4,116.0,90.0,2123,14.0,71
peugeot 304                         ,France ,30.0,4,79.0,70.0,2074,19.5,71
fiat 124b                           ,Italy  ,30.0,4,88.0,76.0,2065,14.5,71
toyota corolla 1200                 ,Japan  ,31.0,4,71.0,65.0,1773,19.0,71
datsun 1200                         ,Japan  ,35.0,4,72.0,69.0,1613,18.0,71
volkswagen model 111                ,Germany,27.0,4,97.0,60.0,1834,19.0,71
plymouth cricket                    ,USA    ,26.0,4,91.0,70.0,1955,20.5,71
toyota corona hardtop               ,Japan  ,24.0,4,113.0,95.0,2278,15.5,72
dodge colt hardtop                  ,USA    ,25.0,4,97.5,80.0,2126,17.0,72
volkswagen type 3                   ,Germany,23.0,4,97.0,54.0,2254,23.5,72
chevrolet vega                      ,USA    ,20.0,4,140.0,90.0,2408,19.5,72
ford pinto runabout                 ,USA    ,21.0,4,122.0,86.0,2226,16.5,72
chevrolet impala                    ,USA    ,13.0,8,350.0,165.0,4274,12.0,72
pontiac catalina                    ,USA    ,14.0,8,400.0,175.0,4385,12.0,72
plymouth fury iii                   ,USA    ,15.0,8,318.0,150.0,4135,13.5,72
ford galaxie 500                    ,USA    ,14.0,8,351.0,153.0,4129,13.0,72
amc ambassador sst                  ,USA    ,17.0,8,304.0,150.0,3672,11.5,72
mercury marquis                     ,USA    ,11.0,8,429.0,208.0,4633,11.0,72
buick lesabre custom                ,USA    ,13.0,8,350.0,155.0,4502,13.5,72
oldsmobile delta 88 royale          ,USA    ,12.0,8,350.0,160.0,4456,13.5,72
chrysler newport royal              ,USA    ,13.0,8,400.0,190.0,4422,12.5,72
mazda rx2 coupe                     ,Japan  ,19.0,3,70.0,97.0,2330,13.5,72
amc matador (sw)                    ,USA    ,15.0,8,304.0,150.0,3892,12.5,72
chevrolet chevelle concours (sw)    ,USA    ,13.0,8,307.0,130.0,4098,14.0,72
ford gran torino (sw)               ,USA    ,13.0,8,302.0,140.0,4294,16.0,72
plymouth satellite custom (sw)      ,USA    ,14.0,8,318.0,150.0,4077,14.0,72
volvo 145e (sw)                     ,Sweden ,18.0,4,121.0,112.0,2933,14.5,72
volkswagen 411 (sw)                 ,Germany,22.0,4,121.0,76.0,2511,18.0,72
peugeot 504 (sw)                    ,France ,21.0,4,120.0,87.0,2979,19.5,72
renault 12 (sw)                     ,France ,26.0,4,96.0,69.0,2189,18.0,72
ford pinto (sw)                     ,USA    ,22.0,4,122.0,86.0,2395,16.0,72
datsun 510 (sw)                     ,Japan  ,28.0,4,97.0,92.0,2288,17.0,72
toyota corona mark ii (sw)          ,Japan  ,23.0,4,120.0,97.0,2506,14.5,72
dodge colt (sw)                     ,USA    ,28.0,4,98.0,80.0,2164,15.0,72
toyota corolla 1600 (sw)            ,Japan  ,27.0,4,97.0,88.0,2100,16.5,72
buick century 350                   ,USA    ,13.0,8,350.0,175.0,4100,13.0,73
amc matador                         ,USA    ,14.0,8,304.0,150.0,3672,11.5,73
chevrolet malibu                    ,USA    ,13.0,8,350.0,145.0,3988,13.0,73
ford gran torino                    ,USA    ,14.0,8,302.0,137.0,4042,14.5,73
dodge coronet custom                ,USA    ,15.0,8,318.0,150.0,3777,12.5,73
mercury marquis brougham            ,USA    ,12.0,8,429.0,198.0,4952,11.5,73
chevrolet caprice classic           ,USA    ,13.0,8,400.0,150.0,4464,12.0,73
ford ltd                            ,USA    ,13.0,8,351.0,158.0,4363,13.0,73
plymouth fury gran sedan            ,USA    ,14.0,8,318.0,150.0,4237,14.5,73
chrysler new yorker brougham        ,USA    ,13.0,8,440.0,215.0,4735,11.0,73
buick electra 225 custom            ,USA    ,12.0,8,455.0,225.0,4951,11.0,73
amc ambassador brougham             ,USA    ,13.0,8,360.0,175.0,3821,11.0,73
plymouth valiant                    ,USA    ,18.0,6,225.0,105.0,3121,16.5,73
chevrolet nova custom               ,USA    ,16.0,6,250.0,100.0,3278,18.0,73
amc hornet                          ,USA    ,18.0,6,232.0,100.0,2945,16.0,73
ford maverick                       ,USA    ,18.0,6,250.0,88.0,3021,16.5,73
plymouth duster                     ,USA    ,23.0,6,198.0,95.0,2904,16.0,73
volkswagen super beetle             ,Germany,26.0,4,97.0,46.0,1950,21.0,73
chevrolet impala                    ,USA    ,11.0,8,400.0,150.0,4997,14.0,73
ford country                        ,USA    ,12.0,8,400.0,167.0,4906,12.5,73
plymouth custom suburb              ,USA    ,13.0,8,360.0,170.0,4654,13.0,73
oldsmobile vista cruiser            ,USA    ,12.0,8,350.0,180.0,4499,12.5,73
amc gremlin                         ,USA    ,18.0,6,232.0,100.0,2789,15.0,73
toyota carina                       ,Japan  ,20.0,4,97.0,88.0,2279,19.0,73
chevrolet vega                      ,USA    ,21.0,4,140.0,72.0,2401,19.5,73
datsun 610                          ,Japan  ,22.0,4,108.0,94.0,2379,16.5,73
mazda rx3                           ,Japan  ,18.0,3,70.0,90.0,2124,13.5,73
ford pinto                          ,USA    ,19.0,4,122.0,85.0,2310,18.5,73
mercury capri v6                    ,USA    ,21.0,6,155.0,107.0,2472,14.0,73
fiat 124 sport coupe                ,Italy  ,26.0,4,98.0,90.0,2265,15.5,73
chevrolet monte carlo s             ,USA    ,15.0,8,350.0,145.0,4082,13.0,73
pontiac grand prix                  ,USA    ,16.0,8,400.0,230.0,4278,9.5,73
fiat 128                            ,Italy  ,29.0,4,68.0,49.0,1867,19.5,73
opel manta                          ,Germany,24.0,4,116.0,75.0,2158,15.5,73
audi 100ls                          ,Germany,20.0,4,114.0,91.0,2582,14.0,73
volvo 144ea                         ,Sweden ,19.0,4,121.0,112.0,2868,15.5,73
dodge dart custom                   ,USA    ,15.0,8,318.0,150.0,3399,11.0,73
saab 99le                           ,Sweden ,24.0,4,121.0,110.0,2660,14.0,73
toyota mark ii                      ,Japan  ,20.0,6,156.0,122.0,2807,13.5,73
oldsmobile omega                    ,USA    ,11.0,8,350.0,180.0,3664,11.0,73
plymouth duster                     ,USA    ,20.0,6,198.0,95.0,3102,16.5,74
ford maverick                       ,USA    ,21.0,6,200.0,,2875,17.0,74
amc hornet                          ,USA    ,19.0,6,232.0,100.0,2901,16.0,74
chevrolet nova                      ,USA    ,15.0,6,250.0,100.0,3336,17.0,74
datsun b210                         ,Japan  ,31.0,4,79.0,67.0,1950,19.0,74
ford pinto                          ,USA    ,26.0,4,122.0,80.0,2451,16.5,74
toyota corolla 1200                 ,Japan  ,32.0,4,71.0,65.0,1836,21.0,74
chevrolet vega                      ,USA    ,25.0,4,140.0,75.0,2542,17.0,74
chevrolet chevelle malibu classic   ,USA    ,16.0,6,250.0,100.0,3781,17.0,74
amc matador                         ,USA    ,16.0,6,258.0,110.0,3632,18.0,74
plymouth satellite sebring          ,USA    ,18.0,6,225.0,105.0,3613,16.5,74
ford gran torino                    ,USA    ,16.0,8,302.0,140.0,4141,14.0,74
buick century luxus (sw)            ,USA    ,13.0,8,350.0,150.0,4699,14.5,74
dodge coronet custom (sw)           ,USA    ,14.0,8,318.0,150.0,4457,13.5,74
ford gran torino (sw)               ,USA    ,14.0,8,302.0,140.0,4638,16.0,74
amc matador (sw)                    ,USA    ,14.0,8,304.0,150.0,4257,15.5,74
audi fox                            ,Germany,29.0,4,98.0,83.0,2219,16.5,74
volkswagen dasher                   ,Germany,26.0,4,79.0,67.0,1963,15.5,74
opel manta                          ,Germany,26.0,4,97.0,78.0,2300,14.5,74
toyota corona                       ,Japan  ,31.0,4,76.0,52.0,1649,16.5,74
datsun 710                          ,Japan  ,32.0,4,83.0,61.0,2003,19.0,74
dodge colt                          ,USA    ,28.0,4,90.0,75.0,2125,14.5,74
fiat 128                            ,Italy  ,24.0,4,90.0,75.0,2108,15.5,74
fiat 124 tc                         ,Italy  ,26.0,4,116.0,75.0,2246,14.0,74
honda civic                         ,Japan  ,24.0,4,120.0,97.0,2489,15.0,74
subaru                              ,Japan  ,26.0,4,108.0,93.0,2391,15.5,74
fiat x1.9                           ,Italy  ,31.0,4,79.0,67.0,2000,16.0,74
plymouth valiant custom             ,USA    ,19.0,6,225.0,95.0,3264,16.0,75
chevrolet nova                      ,USA    ,18.0,6,250.0,105.0,3459,16.0,75
mercury monarch                     ,USA    ,15.0,6,250.0,72.0,3432,21.0,75
ford maverick                       ,USA    ,15.0,6,250.0,72.0,3158,19.5,75
pontiac catalina                    ,USA    ,16.0,8,400.0,170.0,4668,11.5,75
chevrolet bel air                   ,USA    ,15.0,8,350.0,145.0,4440,14.0,75
plymouth grand fury                 ,USA    ,16.0,8,318.0,150.0,4498,14.5,75
ford ltd                            ,USA    ,14.0,8,351.0,148.0,4657,13.5,75
buick century                       ,USA    ,17.0,6,231.0,110.0,3907,21.0,75
chevrolet chevelle malibu           ,USA    ,16.0,6,250.0,105.0,3897,18.5,75
amc matador                         ,USA    ,15.0,6,258.0,110.0,3730,19.0,75
plymouth fury                       ,USA    ,18.0,6,225.0,95.0,3785,19.0,75
buick skyhawk                       ,USA    ,21.0,6,231.0,110.0,3039,15.0,75
chevrolet monza 2+2                 ,USA    ,20.0,8,262.0,110.0,3221,13.5,75
ford mustang ii                     ,USA    ,13.0,8,302.0,129.0,3169,12.0,75
toyota corolla                      ,Japan  ,29.0,4,97.0,75.0,2171,16.0,75
ford pinto                          ,USA    ,23.0,4,140.0,83.0,2639,17.0,75
amc gremlin                         ,USA    ,20.0,6,232.0,100.0,2914,16.0,75
pontiac astro                       ,USA    ,23.0,4,140.0,78.0,2592,18.5,75
toyota corona                       ,Japan  ,24.0,4,134.0,96.0,2702,13.5,75
volkswagen dasher                   ,Germany,25.0,4,90.0,71.0,2223,16.5,75
datsun 710                          ,Japan  ,24.0,4,119.0,97.0,2545,17.0,75
ford pinto                          ,USA    ,18.0,6,171.0,97.0,2984,14.5,75
volkswagen rabbit                   ,Germany,29.0,4,90.0,70.0,1937,14.0,75
amc pacer                           ,USA    ,19.0,6,232.0,90.0,3211,17.0,75
audi 100ls                          ,Germany,23.0,4,115.0,95.0,2694,15.0,75
peugeot 504                         ,France ,23.0,4,120.0,88.0,2957,17.0,75
volvo 244dl                         ,Sweden ,22.0,4,121.0,98.0,2945,14.5,75
saab 99le                           ,Sweden ,25.0,4,121.0,115.0,2671,13.5,75
honda civic cvcc                    ,Japan  ,33.0,4,91.0,53.0,1795,17.5,75
fiat 131                            ,Italy  ,28.0,4,107.0,86.0,2464,15.5,76
opel 1900                           ,Germany,25.0,4,116.0,81.0,2220,16.9,76
ford capri ii                       ,USA    ,25.0,4,140.0,92.0,2572,14.9,76
dodge colt                          ,USA    ,26.0,4,98.0,79.0,2255,17.7,76
renault 12tl                        ,France ,27.0,4,101.0,83.0,2202,15.3,76
chevrolet chevelle malibu classic   ,USA    ,17.5,8,305.0,140.0,4215,13.0,76
dodge coronet brougham              ,USA    ,16.0,8,318.0,150.0,4190,13.0,76
amc matador                         ,USA    ,15.5,8,304.0,120.0,3962,13.9,76
ford gran torino                    ,USA    ,14.5,8,351.0,152.0,4215,12.8,76
plymouth valiant                    ,USA    ,22.0,6,225.0,100.0,3233,15.4,76
chevrolet nova                      ,USA    ,22.0,6,250.0,105.0,3353,14.5,76
ford maverick                       ,USA    ,24.0,6,200.0,81.0,3012,17.6,76
amc hornet                          ,USA    ,22.5,6,232.0,90.0,3085,17.6,76
chevrolet chevette                  ,USA    ,29.0,4,85.0,52.0,2035,22.2,76
chevrolet woody                     ,USA    ,24.5,4,98.0,60.0,2164,22.1,76
volkswagen rabbit                   ,Germany,29.0,4,90.0,70.0,1937,14.2,76
honda civic                         ,Japan  ,33.0,4,91.0,53.0,1795,17.4,76
dodge aspen se                      ,USA    ,20.0,6,225.0,100.0,3651,17.7,76
ford granada ghia                   ,USA    ,18.0,6,250.0,78.0,3574,21.0,76
pontiac ventura sj                  ,USA    ,18.5,6,250.0,110.0,3645,16.2,76
amc pacer d/l                       ,USA    ,17.5,6,258.0,95.0,3193,17.8,76
volkswagen rabbit                   ,Germany,29.5,4,97.0,71.0,1825,12.2,76
datsun b-210                        ,Japan  ,32.0,4,85.0,70.0,1990,17.0,76
toyota corolla                      ,Japan  ,28.0,4,97.0,75.0,2155,16.4,76
ford pinto                          ,USA    ,26.5,4,140.0,72.0,2565,13.6,76
volvo 245                           ,Sweden ,20.0,4,130.0,102.0,3150,15.7,76
plymouth volare premier v8          ,USA    ,13.0,8,318.0,150.0,3940,13.2,76
peugeot 504                         ,France ,19.0,4,120.0,88.0,3270,21.9,76
toyota mark ii                      ,Japan  ,19.0,6,156.0,108.0,2930,15.5,76
mercedes-benz 280s                  ,Germany,16.5,6,168.0,120.0,3820,16.7,76
cadillac seville                    ,USA    ,16.5,8,350.0,180.0,4380,12.1,76
chevrolet c10                       ,USA    ,13.0,8,350.0,145.0,4055,12.0,76
ford f108                           ,USA    ,13.0,8,302.0,130.0,3870,15.0,76
dodge d100                          ,USA    ,13.0,8,318.0,150.0,3755,14.0,76
honda accord cvcc                   ,Japan  ,31.5,4,98.0,68.0,2045,18.5,77
buick opel isuzu deluxe             ,USA    ,30.0,4,111.0,80.0,2155,14.8,77
renault 5 gtl                       ,France ,36.0,4,79.0,58.0,1825,18.6,77
plymouth arrow gs                   ,USA    ,25.5,4,122.0,96.0,2300,15.5,77
datsun f-10 hatchback               ,Japan  ,33.5,4,85.0,70.0,1945,16.8,77
chevrolet caprice classic           ,USA    ,17.5,8,305.0,145.0,3880,12.5,77
oldsmobile cutlass supreme          ,USA    ,17.0,8,260.0,110.0,4060,19.0,77
dodge monaco brougham               ,USA    ,15.5,8,318.0,145.0,4140,13.7,77
mercury cougar brougham             ,USA    ,15.0,8,302.0,130.0,4295,14.9,77
chevrolet concours                  ,USA    ,17.5,6,250.0,110.0,3520,16.4,77
buick skylark                       ,USA    ,20.5,6,231.0,105.0,3425,16.9,77
plymouth volare custom              ,USA    ,19.0,6,225.0,100.0,3630,17.7,77
ford granada                        ,USA    ,18.5,6,250.0,98.0,3525,19.0,77
pontiac grand prix lj               ,USA    ,16.0,8,400.0,180.0,4220,11.1,77
chevrolet monte carlo landau        ,USA    ,15.5,8,350.0,170.0,4165,11.4,77
chrysler cordoba                    ,USA    ,15.5,8,400.0,190.0,4325,12.2,77
ford thunderbird                    ,USA    ,16.0,8,351.0,149.0,4335,14.5,77
volkswagen rabbit custom            ,Germany,29.0,4,97.0,78.0,1940,14.5,77
pontiac sunbird coupe               ,USA    ,24.5,4,151.0,88.0,2740,16.0,77
toyota corolla liftback             ,Japan  ,26.0,4,97.0,75.0,2265,18.2,77
ford mustang ii 2+2                 ,USA    ,25.5,4,140.0,89.0,2755,15.8,77
chevrolet chevette                  ,USA    ,30.5,4,98.0,63.0,2051,17.0,77
dodge colt m/m                      ,USA    ,33.5,4,98.0,83.0,2075,15.9,77
subaru dl                           ,Japan  ,30.0,4,97.0,67.0,1985,16.4,77
volkswagen dasher                   ,Germany,30.5,4,97.0,78.0,2190,14.1,77
datsun 810                          ,Japan  ,22.0,6,146.0,97.0,2815,14.5,77
bmw 320i                            ,Germany,21.5,4,121.0,110.0,2600,12.8,77
mazda rx-4                          ,Japan  ,21.5,3,80.0,110.0,2720,13.5,77
volkswagen rabbit custom diesel     ,Germany,43.1,4,90.0,48.0,1985,21.5,78
ford fiesta                         ,USA    ,36.1,4,98.0,66.0,1800,14.4,78
mazda glc deluxe                    ,Japan  ,32.8,4,78.0,52.0,1985,19.4,78
datsun b210 gx                      ,Japan  ,39.4,4,85.0,70.0,2070,18.6,78
honda civic cvcc                    ,Japan  ,36.1,4,91.0,60.0,1800,16.4,78
oldsmobile cutlass salon brougham   ,USA    ,19.9,8,260.0,110.0,3365,15.5,78
dodge diplomat                      ,USA    ,19.4,8,318.0,140.0,3735,13.2,78
mercury monarch ghia                ,USA    ,20.2,8,302.0,139.0,3570,12.8,78
pontiac phoenix lj                  ,USA    ,19.2,6,231.0,105.0,3535,19.2,78
chevrolet malibu                    ,USA    ,20.5,6,200.0,95.0,3155,18.2,78
ford fairmont (auto)                ,USA    ,20.2,6,200.0,85.0,2965,15.8,78
ford fairmont (man)                 ,USA    ,25.1,4,140.0,88.0,2720,15.4,78
plymouth volare                     ,USA    ,20.5,6,225.0,100.0,3430,17.2,78
amc concord                         ,USA    ,19.4,6,232.0,90.0,3210,17.2,78
buick century special               ,USA    ,20.6,6,231.0,105.0,3380,15.8,78
mercury zephyr                      ,USA    ,20.8,6,200.0,85.0,3070,16.7,78
dodge aspen                         ,USA    ,18.6,6,225.0,110.0,3620,18.7,78
amc concord d/l                     ,USA    ,18.1,6,258.0,120.0,3410,15.1,78
chevrolet monte carlo landau        ,USA    ,19.2,8,305.0,145.0,3425,13.2,78
buick regal sport coupe (turbo)     ,USA    ,17.7,6,231.0,165.0,3445,13.4,78
ford futura                         ,USA    ,18.1,8,302.0,139.0,3205,11.2,78
dodge magnum xe                     ,USA    ,17.5,8,318.0,140.0,4080,13.7,78
chevrolet chevette                  ,USA    ,30.0,4,98.0,68.0,2155,16.5,78
toyota corona                       ,Japan  ,27.5,4,134.0,95.0,2560,14.2,78
datsun 510                          ,Japan  ,27.2,4,119.0,97.0,2300,14.7,78
dodge omni                          ,USA    ,30.9,4,105.0,75.0,2230,14.5,78
toyota celica gt liftback           ,Japan  ,21.1,4,134.0,95.0,2515,14.8,78
plymouth sapporo                    ,USA    ,23.2,4,156.0,105.0,2745,16.7,78
oldsmobile starfire sx              ,USA    ,23.8,4,151.0,85.0,2855,17.6,78
datsun 200-sx                       ,Japan  ,23.9,4,119.0,97.0,2405,14.9,78
audi 5000                           ,Germany,20.3,5,131.0,103.0,2830,15.9,78
volvo 264gl                         ,Sweden ,17.0,6,163.0,125.0,3140,13.6,78
saab 99gle                          ,Sweden ,21.6,4,121.0,115.0,2795,15.7,78
peugeot 604sl                       ,France ,16.2,6,163.0,133.0,3410,15.8,78
volkswagen scirocco                 ,Germany,31.5,4,89.0,71.0,1990,14.9,78
honda accord lx                     ,Japan  ,29.5,4,98.0,68.0,2135,16.6,78
pontiac lemans v6                   ,USA    ,21.5,6,231.0,115.0,3245,15.4,79
mercury zephyr 6                    ,USA    ,19.8,6,200.0,85.0,2990,18.2,79
ford fairmont 4                     ,USA    ,22.3,4,140.0,88.0,2890,17.3,79
amc concord dl 6                    ,USA    ,20.2,6,232.0,90.0,3265,18.2,79
dodge aspen 6                       ,USA    ,20.6,6,225.0,110.0,3360,16.6,79
chevrolet caprice classic           ,USA    ,17.0,8,305.0,130.0,3840,15.4,79
ford ltd landau                     ,USA    ,17.6,8,302.0,129.0,3725,13.4,79
mercury grand marquis               ,USA    ,16.5,8,351.0,138.0,3955,13.2,79
dodge st. regis                     ,USA    ,18.2,8,318.0,135.0,3830,15.2,79
buick estate wagon (sw)             ,USA    ,16.9,8,350.0,155.0,4360,14.9,79
ford country squire (sw)            ,USA    ,15.5,8,351.0,142.0,4054,14.3,79
chevrolet malibu classic (sw)       ,USA    ,19.2,8,267.0,125.0,3605,15.0,79
chrysler lebaron town @ country (sw),USA    ,18.5,8,360.0,150.0,3940,13.0,79
volkswagen rabbit custom            ,Germany,31.9,4,89.0,71.0,1925,14.0,79
mazda glc deluxe                    ,Japan  ,34.1,4,86.0,65.0,1975,15.2,79
dodge colt hatchback custom         ,USA    ,35.7,4,98.0,80.0,1915,14.4,79
amc spirit dl                       ,USA    ,27.4,4,121.0,80.0,2670,15.0,79
mercedes-benz 300d                  ,Germany,25.4,5,183.0,77.0,3530,20.1,79
cadillac eldorado                   ,USA    ,23.0,8,350.0,125.0,3900,17.4,79
peugeot 504                         ,France ,27.2,4,141.0,71.0,3190,24.8,79
oldsmobile cutlass salon brougham   ,USA    ,23.9,8,260.0,90.0,3420,22.2,79
plymouth horizon                    ,USA    ,34.2,4,105.0,70.0,2200,13.2,79
plymouth horizon tc3                ,USA    ,34.5,4,105.0,70.0,2150,14.9,79
datsun 210                          ,Japan  ,31.8,4,85.0,65.0,2020,19.2,79
fiat strada custom                  ,Italy  ,37.3,4,91.0,69.0,2130,14.7,79
buick skylark limited               ,USA    ,28.4,4,151.0,90.0,2670,16.0,79
chevrolet citation                  ,USA    ,28.8,6,173.0,115.0,2595,11.3,79
oldsmobile omega brougham           ,USA    ,26.8,6,173.0,115.0,2700,12.9,79
pontiac phoenix                     ,USA    ,33.5,4,151.0,90.0,2556,13.2,79
volkswagen rabbit                   ,Germany,41.5,4,98.0,76.0,2144,14.7,80
toyota corolla tercel               ,Japan  ,38.1,4,89.0,60.0,1968,18.8,80
chevrolet chevette                  ,USA    ,32.1,4,98.0,70.0,2120,15.5,80
datsun 310                          ,Japan  ,37.2,4,86.0,65.0,2019,16.4,80
chevrolet citation                  ,USA    ,28.0,4,151.0,90.0,2678,16.5,80
ford fairmont                       ,USA    ,26.4,4,140.0,88.0,2870,18.1,80
amc concord                         ,USA    ,24.3,4,151.0,90.0,3003,20.1,80
dodge aspen                         ,USA    ,19.1,6,225.0,90.0,3381,18.7,80
audi 4000                           ,Germany,34.3,4,97.0,78.0,2188,15.8,80
toyota corona liftback              ,Japan  ,29.8,4,134.0,90.0,2711,15.5,80
mazda 626                           ,Japan  ,31.3,4,120.0,75.0,2542,17.5,80
datsun 510 hatchback                ,Japan  ,37.0,4,119.0,92.0,2434,15.0,80
toyota corolla                      ,Japan  ,32.2,4,108.0,75.0,2265,15.2,80
mazda glc                           ,Japan  ,46.6,4,86.0,65.0,2110,17.9,80
dodge colt                          ,USA    ,27.9,4,156.0,105.0,2800,14.4,80
datsun 210                          ,Japan  ,40.8,4,85.0,65.0,2110,19.2,80
volkswagen rabbit c (diesel)        ,Germany,44.3,4,90.0,48.0,2085,21.7,80
volkswagen dasher (diesel)          ,Germany,43.4,4,90.0,48.0,2335,23.7,80
audi 5000s (diesel)                 ,Germany,36.4,5,121.0,67.0,2950,19.9,80
mercedes-benz 240d                  ,Germany,30.0,4,146.0,67.0,3250,21.8,80
honda civic 1500 gl                 ,Japan  ,44.6,4,91.0,67.0,1850,13.8,80
renault lecar deluxe                ,France ,40.9,4,85.0,,1835,17.3,80
subaru dl                           ,Japan  ,33.8,4,97.0,67.0,2145,18.0,80
volkswagen rabbit                   ,Germany,29.8,4,89.0,62.0,1845,15.3,80
datsun 280-zx                       ,Japan  ,32.7,6,168.0,132.0,2910,11.4,80
mazda rx-7 gs                       ,Japan  ,23.7,3,70.0,100.0,2420,12.5,80
triumph tr7 coupe                   ,England,35.0,4,122.0,88.0,2500,15.1,80
ford mustang cobra                  ,USA    ,23.6,4,140.0,,2905,14.3,80
honda accord                        ,Japan  ,32.4,4,107.0,72.0,2290,17.0,80
plymouth reliant                    ,USA    ,27.2,4,135.0,84.0,2490,15.7,81
buick skylark                       ,USA    ,26.6,4,151.0,84.0,2635,16.4,81
dodge aries wagon (sw)              ,USA    ,25.8,4,156.0,92.0,2620,14.4,81
chevrolet citation                  ,USA    ,23.5,6,173.0,110.0,2725,12.6,81
plymouth reliant                    ,USA    ,30.0,4,135.0,84.0,2385,12.9,81
toyota starlet                      ,Japan  ,39.1,4,79.0,58.0,1755,16.9,81
plymouth champ                      ,USA    ,39.0,4,86.0,64.0,1875,16.4,81
